#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,China,503302,0,5272,0,379053,0,118977,7557,347,4,160000000,110461,1448471400,0,2878,274748,9,0,0,82
2,USA,111820082,1151,1219487,7,109814428,10109,786167,940,333985,3642,1186851502,3544901,334805269,0,3,275,0,3,0,2348
3,India,45035393,68,533570,0,0,0,0,0,32016,379,935879495,665334,1406631776,0,31,2636,2,0,0,0
4,France,40138560,0,167642,0,39970918,0,0,0,612013,2556,271490188,4139547,65584518,0,2,391,0,0,0,0
5,Germany,38828995,73,183027,16,38240600,0,405368,0,462891,2182,122332384,1458359,83883596,0,2,458,1,0,0,4833
6,Brazil,38743918,0,711380,0,36249161,0,1783377,0,179908,3303,63776166,296146,215353593,0,6,303,3,0,0,8281
7,S. Korea,34571873,0,35934,0,34535939,0,0,0,673523,700,15804065,307892,51329899,0,1,1428,3,0,0,0
8,Japan,33803572,0,74694,0,0,0,0,0,269169,595,100414883,799578,125584838,0,4,1681,1,0,0,95582
9,Italy,26723249,0,196487,0,26361218,0,165544,22,443445,3261,281126449,4665010,60262770,0,2,307,0,0,0,2747
10,UK,24910387,0,232112,0,24678275,0,0,0,363666,3389,522526476,7628357,68497907,0,3,295,0,0,0,0
11,Russia,24124215,0,402756,0,23545818,0,175641,0,165454,2762,273400000,1875095,145805947,0,6,362,1,0,0,1205
12,Turkey,17232066,0,102174,0,0,0,0,0,201399,1194,162743369,1902052,85561976,0,5,837,1,0,0,4024
13,Spain,13914811,0,121760,0,13762417,0,30634,231,297840,2606,471036328,10082298,46719142,0,3,384,0,0,0,656
14,Australia,11853144,664,24414,0,11820014,4299,8716,3,454687,937,81916639,3142326,26068792,0,2,1068,0,25,0,334
15,Vietnam,11625195,0,43206,0,10640971,0,941018,0,117481,437,85826548,867342,98953541,0,9,2290,1,0,0,9510
16,Taiwan,10241523,0,19005,0,10222518,0,0,0,428720,796,30742304,1286903,23888595,0,2,1257,1,0,0,0
17,Argentina,10128845,0,130841,0,9997258,0,746,0,220143,2844,35716069,776264,46010234,0,5,352,1,0,0,16
18,Netherlands,8635786,0,22992,0,8612599,0,195,0,501747,1336,25984435,1509718,17211447,0,2,749,1,0,0,11
19,Mexico,7702809,0,334958,0,6899865,0,467986,0,58549,2546,20013810,152124,131562772,0,17,393,7,0,0,3557
20,Iran,7627186,0,146811,0,0,0,0,0,88665,1707,57320267,666338,86022837,0,11,586,2,0,0,1199
21,Indonesia,6829221,0,162063,0,6647104,0,20054,0,24466,581,114158919,408975,279134505,0,41,1722,2,0,0,72
22,Poland,6661991,0,120598,0,0,0,0,0,176524,3196,39323709,1041970,37739785,0,6,313,1,0,0,31941
23,Colombia,6400173,0,143200,0,6212152,0,44821,342,124244,2780,36951507,717327,51512762,0,8,360,1,0,0,870
24,Greece,6101379,0,37869,0,0,0,0,0,591412,3671,102228365,9909078,10316637,0,2,272,0,0,0,0
25,Austria,6081287,0,22542,0,6054934,0,3811,0,670727,2486,211273524,23302116,9066710,0,1,402,0,0,0,420
